"coupleGeneration","coupleParent1","coupleParent2","coupleChildrensCount"
0,1096541448874,1335435687999,2
0,1489506718737,1059521373382,2
0,97074262852,250006774915,1
0,1609942479907,801821770408,3
0,1175449691067,1646343357190,4
0,349262157260,301149155322,1
0,876019566581,102651797111,1
0,1232855346975,1559499418248,3
0,1446329568258,996760142712,1
0,722548698675,1616916188903,3
1,261634291291,668276480678,3
1,842163400826,839430671638,4
1,601262194961,1047334565135,2
1,1651058940912,140890387723,3
1,467970039248,973591527514,3
1,301774044188,1173514912771,1
1,61291916510,1623785696311,3
1,1479474543843,1525190497324,3
1,226306333388,1008621550299,0
2,983964415879,1478111180568,0
2,1241396800461,1272483046345,0
2,635247035540,887714537231,0
2,272331469266,1245806758258,0
2,106552331098,1170907030026,0
2,129499592913,1390830457431,0
2,920402080047,1546497343641,3
2,298379440988,1075818385295,2
2,1032675804198,1284689635667,0
2,998578383615,632108239820,4
2,1182141251932,579959871147,2
3,914816916691,765217662528,3
3,862632408277,293102287369,3
3,1640600046106,669245081771,1
3,26294314634,1364293148175,3
3,944043351093,60727985258,3
4,275127856305,308552411632,1
4,109830460739,787664572279,0
4,756903555299,113107712639,2
4,785377920832,728728508322,1
4,1008813640247,439898977135,1
4,472528337286,846772019778,0
5,958960097250,1203266800035,4
5,1338711893275,1217305266761,2
6,117440576069,145900028116,2
6,325562135186,171219562315,2
7,1200207093750,331755760720,1
